bankable acteur,moyenne
Harrison Ford,1549858.0
Adam Driver,1402233.0
Ewan McGregor,841258.0
Natalie Portman,1348049.0
Jamel Debbouze,2206938.0
Jean Reno,1397999.0
Seth Rogen,231913.0
Frédéric Diefenthal,1476968.0
Samy Nacéri,1460289.0
Marion Cotillard,1384256.0
Daniel Craig,1176531.0
Gad Elmaleh,1513226.0
Simon Pegg,842401.0
Sam Worthington,1822292.0
Sigourney Weaver,1349798.0
Kate Winslet,1529444.0
Richard Anconina,1803165.0
José Garcia,1089910.0
Gad Elmaleh,1513226.0
Dany Boon,2401746.0
Kad Merad,1302759.0
Michel Galabru,1773396.0
Jérôme Commandeur,2130424.0
Michel Blanc,1188006.0
Christian Clavier,1940185.0
Thierry Lhermitte,983587.0
Josiane Balasko,955503.0
Gérard Jugnot,1106164.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Helena Bonham Carter,1875890.0
Ralph Fiennes,1840717.0
Alan Rickman,2368829.0
Benedict Cumberbatch,1605997.0
Tom Holland,2643533.0
Willem Dafoe,812428.0
Jamie Foxx,956348.0
Andrew Garfield,1197757.0
Tobey Maguire,1529110.0
Gérard Depardieu,1310040.0
Clovis Cornillac,812238.0
Benoît Poelvoorde,839930.0
Alain Delon,1646498.0
Franck Dubosc,1206610.0
José Garcia,1089910.0
Elie Semoun,1189006.0
Jamel Debbouze,2206938.0
Orlando Bloom,2423195.0
Viggo Mortensen,860544.0
Ian McKellen,1843143.0
Liv Tyler,1352661.0
Elijah Wood,1225138.0
Cate Blanchett,1298132.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Ralph Fiennes,1840717.0
Brendan Gleeson,1178490.0
Clémence Poésy,1584167.0
Alan Rickman,2368829.0
Robert Pattinson,1913382.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Kenneth Branagh,1144969.0
Alan Rickman,2368829.0
Ralph Fiennes,1840717.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Helena Bonham Carter,1875890.0
Clémence Poésy,1584167.0
Alan Rickman,2368829.0
Gary Oldman,1667324.0
Emma Thompson,990806.0
Jean Reno,1397999.0
Christian Clavier,1940185.0
Christian Clavier,1940185.0
Jamel Debbouze,2206938.0
Gérard Depardieu,1310040.0
Edouard Baer,765735.0
Alain Chabat,1587428.0
Monica Bellucci,1182197.0
Marina Foïs,775272.0
Mathieu Kassovitz,1128188.0
Jean-Paul Rouve,1449393.0
Sam Worthington,1822292.0
Sigourney Weaver,1349798.0
Gérard Depardieu,1310040.0
Christian Clavier,1940185.0
Roberto Begnini,1343735.0
Michel Galabru,1773396.0
Dwayne Johnson,1246888.0
Johnny Depp,1284078.0
Orlando Bloom,2423195.0
Yun-Fat Chow,787207.0
Geoffrey Rush,1255056.0
Keira Knightley,1170296.0
Johnny Depp,1284078.0
Orlando Bloom,2423195.0
Geoffrey Rush,1255056.0
Keira Knightley,1170296.0
Adam Driver,1402233.0
Benicio Del Toro,786290.0
Joseph Gordon-Levitt,835723.0
Dany Boon,2401746.0
Benoît Poelvoorde,839930.0
François Damiens,909443.0
Oliver Gourmet,462258.0
Karin Viard,684402.0
Jérôme Commandeur,2130424.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Gary Oldman,1667324.0
Alan Rickman,2368829.0
Emma Thompson,990806.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Helena Bonham Carter,1875890.0
Ralph Fiennes,1840717.0
Clémence Poésy,1584167.0
Alan Rickman,2368829.0
Brendan Gleeson,1178490.0
Samuel L. Jackson,1248160.0
Robert Pattinson,1913382.0
Kristen Stewart,1013591.0
Dakota Fanning,1011257.0
Daniel Radcliffe,3679078.0
Emma Watson,3449268.0
Alan Rickman,2368829.0
Robert Pattinson,1913382.0
Kristen Stewart,1013591.0
Dakota Fanning,1011257.0
Rami Malek,1813517.0
Adam Driver,1402233.0
Harrison Ford,1549858.0
Samuel L. Jackson,1248160.0
Ewan McGregor,841258.0
Liam Neeson,806132.0
Dany Boon,2401746.0
François Berléand,718096.0
Valérie Bonneton,839651.0
Pierre Richard,1233933.0
Kad Merad,1302759.0
Vincent Cassel,940708.0
Gérard Lanvin,1086148.0
Simon Pegg,842401.0
- Queen Latifah,315273.0
Elie Semoun,1189006.0
Kristen Wiig,433762.0
Viggo Mortensen,860544.0
Ian McKellen,1843143.0
Elijah Wood,1225138.0
Cate Blanchett,1298132.0
Orlando Bloom,2423195.0
Liv Tyler,1352661.0
Ewan McGregor,841258.0
Liam Neeson,806132.0
Natalie Portman,1348049.0
Samuel L. Jackson,1248160.0
Keira Knightley,1170296.0
