bankable acteur,moyenne,cluster
Harrison Ford,1549858.0,0
Adam Driver,1402233.0,0
Ewan McGregor,841258.0,1
Natalie Portman,1348049.0,0
Jamel Debbouze,2206938.0,2
Jean Reno,1397999.0,0
Seth Rogen,231913.0,1
Frédéric Diefenthal,1476968.0,0
Samy Nacéri,1460289.0,0
Marion Cotillard,1384256.0,0
Daniel Craig,1176531.0,0
Gad Elmaleh,1513226.0,0
Simon Pegg,842401.0,1
Sam Worthington,1822292.0,2
Sigourney Weaver,1349798.0,0
Kate Winslet,1529444.0,0
Richard Anconina,1803165.0,2
José Garcia,1089910.0,0
Gad Elmaleh,1513226.0,0
Dany Boon,2401746.0,2
Kad Merad,1302759.0,0
Michel Galabru,1773396.0,2
Jérôme Commandeur,2130424.0,2
Michel Blanc,1188006.0,0
Christian Clavier,1940185.0,2
Thierry Lhermitte,983587.0,0
Josiane Balasko,955503.0,0
Gérard Jugnot,1106164.0,0
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Helena Bonham Carter,1875890.0,2
Ralph Fiennes,1840717.0,2
Alan Rickman,2368829.0,2
Benedict Cumberbatch,1605997.0,2
Tom Holland,2643533.0,2
Willem Dafoe,812428.0,1
Jamie Foxx,956348.0,0
Andrew Garfield,1197757.0,0
Tobey Maguire,1529110.0,0
Gérard Depardieu,1310040.0,0
Clovis Cornillac,812238.0,1
Benoît Poelvoorde,839930.0,1
Alain Delon,1646498.0,2
Franck Dubosc,1206610.0,0
José Garcia,1089910.0,0
Elie Semoun,1189006.0,0
Jamel Debbouze,2206938.0,2
Orlando Bloom,2423195.0,2
Viggo Mortensen,860544.0,0
Ian McKellen,1843143.0,2
Liv Tyler,1352661.0,0
Elijah Wood,1225138.0,0
Cate Blanchett,1298132.0,0
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Ralph Fiennes,1840717.0,2
Brendan Gleeson,1178490.0,0
Clémence Poésy,1584167.0,2
Alan Rickman,2368829.0,2
Robert Pattinson,1913382.0,2
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Kenneth Branagh,1144969.0,0
Alan Rickman,2368829.0,2
Ralph Fiennes,1840717.0,2
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Helena Bonham Carter,1875890.0,2
Clémence Poésy,1584167.0,2
Alan Rickman,2368829.0,2
Gary Oldman,1667324.0,2
Emma Thompson,990806.0,0
Jean Reno,1397999.0,0
Christian Clavier,1940185.0,2
Christian Clavier,1940185.0,2
Jamel Debbouze,2206938.0,2
Gérard Depardieu,1310040.0,0
Edouard Baer,765735.0,1
Alain Chabat,1587428.0,2
Monica Bellucci,1182197.0,0
Marina Foïs,775272.0,1
Mathieu Kassovitz,1128188.0,0
Jean-Paul Rouve,1449393.0,0
Sam Worthington,1822292.0,2
Sigourney Weaver,1349798.0,0
Gérard Depardieu,1310040.0,0
Christian Clavier,1940185.0,2
Roberto Begnini,1343735.0,0
Michel Galabru,1773396.0,2
Dwayne Johnson,1246888.0,0
Johnny Depp,1284078.0,0
Orlando Bloom,2423195.0,2
Yun-Fat Chow,787207.0,1
Geoffrey Rush,1255056.0,0
Keira Knightley,1170296.0,0
Johnny Depp,1284078.0,0
Orlando Bloom,2423195.0,2
Geoffrey Rush,1255056.0,0
Keira Knightley,1170296.0,0
Adam Driver,1402233.0,0
Benicio Del Toro,786290.0,1
Joseph Gordon-Levitt,835723.0,1
Dany Boon,2401746.0,2
Benoît Poelvoorde,839930.0,1
François Damiens,909443.0,0
Oliver Gourmet,462258.0,1
Karin Viard,684402.0,1
Jérôme Commandeur,2130424.0,2
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Gary Oldman,1667324.0,2
Alan Rickman,2368829.0,2
Emma Thompson,990806.0,0
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Helena Bonham Carter,1875890.0,2
Ralph Fiennes,1840717.0,2
Clémence Poésy,1584167.0,2
Alan Rickman,2368829.0,2
Brendan Gleeson,1178490.0,0
Samuel L. Jackson,1248160.0,0
Robert Pattinson,1913382.0,2
Kristen Stewart,1013591.0,0
Dakota Fanning,1011257.0,0
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Alan Rickman,2368829.0,2
Robert Pattinson,1913382.0,2
Kristen Stewart,1013591.0,0
Dakota Fanning,1011257.0,0
Rami Malek,1813517.0,2
Adam Driver,1402233.0,0
Harrison Ford,1549858.0,0
Samuel L. Jackson,1248160.0,0
Ewan McGregor,841258.0,1
Liam Neeson,806132.0,1
Dany Boon,2401746.0,2
François Berléand,718096.0,1
Valérie Bonneton,839651.0,1
Pierre Richard,1233933.0,0
Kad Merad,1302759.0,0
Vincent Cassel,940708.0,0
Gérard Lanvin,1086148.0,0
Simon Pegg,842401.0,1
- Queen Latifah,315273.0,1
Elie Semoun,1189006.0,0
Kristen Wiig,433762.0,1
Viggo Mortensen,860544.0,0
Ian McKellen,1843143.0,2
Elijah Wood,1225138.0,0
Cate Blanchett,1298132.0,0
Orlando Bloom,2423195.0,2
Liv Tyler,1352661.0,0
Ewan McGregor,841258.0,1
Liam Neeson,806132.0,1
Natalie Portman,1348049.0,0
Samuel L. Jackson,1248160.0,0
Keira Knightley,1170296.0,0
Marion Cotillard,1384256.0,0
Frédéric Diefenthal,1476968.0,0
Samy Nacéri,1460289.0,0
Sylvester Stallone,1184352.0,0
John Cusack,489897.0,1
Danny Glover,930218.0,0
Woody Harrelson,856816.0,0
Robert Pattinson,1913382.0,2
Daniel Radcliffe,3679078.0,2
Emma Watson,3449268.0,2
Helena Bonham Carter,1875890.0,2
Ralph Fiennes,1840717.0,2
Brendan Gleeson,1178490.0,0
Alan Rickman,2368829.0,2
Gary Oldman,1667324.0,2
Emma Thompson,990806.0,0
Jean-Paul Rouve,1449393.0,0
Cameron Diaz,991389.0,0
Eddie Murphy,816763.0,1
Mike Myers,849060.0,0
Antonio Banderas,649953.0,1
Alain Chabat,1587428.0,2
Dany Boon,2401746.0,2
Christian Clavier,1940185.0,2
Chris Evans,1737423.0,2
Chris Hemsworth,1725937.0,2
Robert Downey Jr,1143031.0,0
Scarlett Johansson,1254402.0,0
Jeremy Renner,1512114.0,0
Paul Rudd,912182.0,0
Mark Ruffalo,1112998.0,0
Chadwick Boseman,2444599.0,2
Josh Brolin,980209.0,0
Don Cheadle,1447575.0,0
Benedict Cumberbatch,1605997.0,2
Tom Holland,2643533.0,2
Gwyneth Paltrow,1178753.0,0
Chris Pratt,1973562.0,2
Michael Douglas,1018055.0,0
Samuel L. Jackson,1248160.0,0
Michelle Pfeiffer,877204.0,0
Natalie Portman,1348049.0,0
Rene Russo,1330754.0,0
Bradley Cooper,849694.0,0
Vin Diesel,1382126.0,0
Tommy Lee Jones,1040078.0,0
Will Smith,1839970.0,2
Johnny Knoxville,542255.0,1
Daniel Craig,1176531.0,0
Christoph Waltz,1411275.0,0
Monica Bellucci,1182197.0,0
Ralph Fiennes,1840717.0,2
Léa Seydoux,875598.0,0
Sylvester Stallone,1184352.0,0
Vincent Cassel,940708.0,0
Gérard Lanvin,1086148.0,0
- Queen Latifah,315273.0,1
Sean William Scott,678771.0,1
Elie Semoun,1189006.0,0
François Cluzet,936250.0,0
Omar Sy,1789989.0,2
Sandra Bullock,612196.0,1
Guillaume Canet,868224.0,0
Steve Carell,382115.0,1
Marion Cotillard,1384256.0,0
Gad Elmaleh,1513226.0,0
Diane Keaton,583909.0,1
Geoffrey Rush,1255056.0,0
Bryce Dallas Howard,1928550.0,2
Chris Pratt,1973562.0,2
Omar Sy,1789989.0,2
Dany Boon,2401746.0,2
Kad Merad,1302759.0,0
Alice Pol,719517.0,1
Valérie Bonneton,839651.0,1
Jonathan Cohen,694715.0,1
Jérôme Commandeur,2130424.0,2
Vin Diesel,1382126.0,0
Paul Walker,935181.0,0
Dwayne Johnson,1246888.0,0
Kurt Russell,993234.0,0
Jason Statham,954392.0,0
Luke Evans,1513360.0,0
Eric Bana,519486.0,1
Franck Dubosc,1206610.0,0
Samy Nacéri,1460289.0,0
Tobey Maguire,1529110.0,0
Kirsten Dunst,1043456.0,0
James Franco,813821.0,1
Willem Dafoe,812428.0,1
Robert Downey Jr,1143031.0,0
Gwyneth Paltrow,1178753.0,0
Don Cheadle,1447575.0,0
Guy Pearce,762043.0,1
