Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
scream 4,533 026,1 070 890,Wes Craven,Etats-Unis,Horreur,13/04/2011,Moins de 12 ans,SND,3 754,3 782,0,5,2,,Courteney Cox
resident evil,533 300,1 105 943,Paul W.S. Anderson,Etats-Unis,Aventure - Action,03/04/2002,Moins de 12 ans,Metropolitan,3 641,3 670,0,5,2,Milla Jovovich,
gainsbourg - (vie héroïque),511 713,1 199 451,,France,Comédie dramatique,20/01/2010,Tous publics,Universal,3 331,3 359,0,5,3,,Yolande Moreau
l'homme qui murmurait à l'oreille des chevaux,511 833,2 997 201,Robert Redford,Etats-Unis,Romance,02/09/1998,Tous publics,GBVI,869,871,2,9,1,"Robert Redford, Kristin Scott Thomas",Scarlett Johansson
la fin des temps,511 835,1 298 541,Peter Hyams,Etats-Unis,Aventure - Action,15/12/1999,Moins de 12 ans,Metropolitan,3 038,3 063,0,6,2,Arnold Schwarzenegger,
matrix resurrections,513 133,972 644,Wachowski (brothers),Etats-Unis,Science Fiction,22/12/2021,Tous publics,Warner Bros.,4 112,4 148,0,5,3,"Carrie-Anne Moss, Keanu Reeves",Lambert Wilson
casse-tête chinois,513 407,1 536 489,Cédric Klapisch,France,Comédie,04/12/2013,Tous publics,Studiocanal,2 502,2 523,0,6,3,"Cécile De France, Romain Duris, Audrey Tautou",
forrest gump,500 885,3 963 919,Robert Zemeckis,Etats-Unis,Comédie,05/10/1994,Tous publics,UIP,471,465,1,13,1,"Tom Hanks, Robin Wright",Gary Sinise
la nuit au musée : le secret des pharaons,501 154,1 576 649,Shawn Levy,Etats-Unis,Film familial,04/02/2015,Tous publics,20th Century Fox,2 430,2 451,0,5,2,Ben Stiller,"Robin Williams, Owen Wilson, Rebel Wilson"
j'accuse,501 228,1 567 306,Roman Polanski,France,Drame,13/11/2019,Tous publics,Gaumont,2 445,2 466,1,6,1,"Jean Dujardin, Emmanuelle Seigner","Mathieu Amalric, Vincent Perez, Denis Podalydès, Melvil Poupaud"
