Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre,titre_vo,realisateur,genre,annee,pays,entrees,salles,moy_salle,part_marche,affiche,moyenne_fr_realisateur,sortie,distributeur,classification,acteurs,moyennes_individuelles_acteurs
scream 4,533026.0,1070890,Wes Craven,Etats-Unis,Horreur,2011-04-13,Moins de 12 ans,SND,,,0,5,2.0,,Courteney Cox,11277,93.0,804,scream 4,Scream 4,Wes Craven,Horreur,2011,f23,533026,440,1211,50  %,cinema/images/posters/11277-20110328090329.jpg,548402.0,13/04/2011,SND,,"[{'id': '74', 'name': 'Courteney Cox', 'role': 'Second rôle', 'character': 'Gale Weathers-Riley'}]","[{'name': 'Courteney Cox', 'moyenne': 895261}]"
resident evil,533300.0,1105943,Paul W.S. Anderson,Etats-Unis,Aventure - Action,2002-04-03,Moins de 12 ans,Metropolitan,,,0,5,2.0,Milla Jovovich,,1779,513.0,803,resident evil,Resident Evil,Paul W.S. Anderson,Aventure - Action,2002,f23,533300,396,1347,48  %,cinema/images/posters/residentevil.jpg,599108.0,03/04/2002,Metropolitan,,"[{'id': '256', 'name': 'Milla Jovovich', 'role': 'Rôle principal', 'character': 'Alice'}]","[{'name': 'Milla Jovovich', 'moyenne': 778203}]"
gainsbourg - (vie héroïque),511713.0,1199451,,France,Comédie dramatique,2010-01-20,Tous publics,Universal,,,0,5,3.0,,Yolande Moreau,10989,,841,gainsbourg - (vie héroïque),,,Comédie dramatique,2010,f25,511713,499,1025,43  %,cinema/images/posters/10989-20100117100114.jpg,,20/01/2010,Universal,Tous publics,"[{'id': '852', 'name': 'Yolande Moreau', 'role': 'Second rôle', 'character': 'Fréhel'}]","[{'name': 'Yolande Moreau', 'moyenne': 869413}]"
matrix resurrections,513133.0,972644,Wachowski (brothers),Etats-Unis,Science Fiction,2021-12-22,Tous publics,Warner Bros.,,,0,5,3.0,"Carrie-Anne Moss, Keanu Reeves",Lambert Wilson,19943,402.0,836,matrix resurrections,The Matrix Resurrections,Wachowski (brothers),Science Fiction,2021,f23,513133,578,888,53  %,cinema/images/posters/19943-20211218110906-3.jpg,2059332.0,22/12/2021,Warner Bros.,Tous publics,"[{'id': '413', 'name': 'Carrie-Anne Moss', 'role': 'Rôle principal', 'character': 'Trinity'}, {'id': '225', 'name': 'Keanu Reeves', 'role': 'Rôle principal', 'character': 'Neo'}, {'id': '240', 'name': 'Lambert Wilson', 'role': 'Second rôle', 'character': 'Le Mérovingien'}, {'id': '94', 'name': 'Christina Ricci', 'role': 'Apparition', 'character': 'Gwyn de Vere'}]","[{'name': 'Carrie-Anne Moss', 'moyenne': 1261796}, {'name': 'Keanu Reeves', 'moyenne': 878836}, {'name': 'Lambert Wilson', 'moyenne': 844391}, {'name': 'Christina Ricci', 'moyenne': 431949}]"
casse-tête chinois,513407.0,1536489,Cédric Klapisch,France,Comédie,2013-12-04,Tous publics,Studiocanal,,,0,6,3.0,"Cécile De France, Romain Duris, Audrey Tautou",,13229,81.0,835,casse-tête chinois,Casse-tête chinois (Chinese Puzzle),Cédric Klapisch,Comédie,2013,f25,513407,542,947,33  %,cinema/images/posters/13229-20140511123245-0.jpg,1172315.0,04/12/2013,Studiocanal,Tous publics,"[{'id': '75', 'name': 'Cécile De France', 'role': 'Rôle principal', 'character': 'Isabelle'}, {'id': '297', 'name': 'Romain Duris', 'role': 'Rôle principal', 'character': 'Xavier'}, {'id': '30', 'name': 'Audrey Tautou', 'role': 'Rôle principal', 'character': 'Martine'}]","[{'name': 'Cécile De France', 'moyenne': 644071}, {'name': 'Romain Duris', 'moyenne': 659140}, {'name': 'Audrey Tautou', 'moyenne': 1284086}]"
la nuit au musée : le secret des pharaons,501154.0,1576649,Shawn Levy,Etats-Unis,Film familial,2015-02-04,Tous publics,20th Century Fox,,,0,5,2.0,Ben Stiller,"Robin Williams, Owen Wilson, Rebel Wilson",14004,628.0,869,la nuit au musée : le secret des pharaons,Night at the Museum: Secret of the Tomb,Shawn Levy,Film familial,2015,f23,501154,630,795,32  %,cinema/images/posters/14004-20141213020914-2.jpg,1145754.0,04/02/2015,20th Century Fox,Tous publics,"[{'id': '63', 'name': 'Ben Stiller', 'role': 'Rôle principal', 'character': 'Larry Daley / Laa'}, {'id': '1058', 'name': 'Rami Malek', 'role': 'Second rôle', 'character': 'Ahkmenrah'}, {'id': '311', 'name': 'Robin Williams', 'role': 'Second rôle', 'character': 'Theodore Roosevelt'}, {'id': '278', 'name': 'Owen Wilson', 'role': 'Second rôle', 'character': 'Jedidiah'}, {'id': '999', 'name': 'Rebel Wilson', 'role': 'Second rôle', 'character': 'Tilly'}, {'id': '160', 'name': 'Hugh Jackman', 'role': 'Apparition', 'character': 'Le Roi Arthur'}]","[{'name': 'Ben Stiller', 'moyenne': 639733}, {'name': 'Rami Malek', 'moyenne': 1813517}, {'name': 'Robin Williams', 'moyenne': 949237}, {'name': 'Owen Wilson', 'moyenne': 683014}, {'name': 'Rebel Wilson', 'moyenne': 358169}, {'name': 'Hugh Jackman', 'moyenne': 1204170}]"
j'accuse,501228.0,1567306,Roman Polanski,France,Drame,2019-11-13,Tous publics,Gaumont,,,1,6,1.0,"Jean Dujardin, Emmanuelle Seigner","Mathieu Amalric, Vincent Perez, Denis Podalydès, Melvil Poupaud",18775,405.0,867,j'accuse,J'accuse (An Officer and a Spy),Roman Polanski,Drame,2019,f25,501228,545,920,32  %,cinema/images/posters/18775-20191013113833-0.jpg,916637.0,13/11/2019,Gaumont,Tous publics,"[{'id': '186', 'name': 'Jean Dujardin', 'role': 'Rôle principal', 'character': 'Colonel Georges Picquart'}, {'id': '883', 'name': 'Emmanuelle Seigner', 'role': 'Rôle principal', 'character': 'Pauline Monnier'}, {'id': '630', 'name': 'Mathieu Amalric', 'role': 'Second rôle', 'character': 'Bertillon'}, {'id': '356', 'name': 'Vincent Perez', 'role': 'Second rôle', 'character': 'Maître Leblois'}, {'id': '818', 'name': 'Denis Podalydès', 'role': 'Second rôle', 'character': 'Maître Demange'}, {'id': '1023', 'name': 'Melvil Poupaud', 'role': 'Second rôle', 'character': 'Maitre Labori'}]","[{'name': 'Jean Dujardin', 'moyenne': 1376846}, {'name': 'Emmanuelle Seigner', 'moyenne': 729917}, {'name': 'Mathieu Amalric', 'moyenne': 468160}, {'name': 'Vincent Perez', 'moyenne': 581082}, {'name': 'Denis Podalydès', 'moyenne': 489900}, {'name': 'Melvil Poupaud', 'moyenne': 388416}]"
tigre et dragon,501743.0,1806197,Ang Lee,Chine,Aventure - Action,2000-10-04,Tous publics,Warner Bros.,,,0,6,2.0,Yun-Fat Chow,,2421,443.0,866,tigre et dragon,"Wo hu cang long (Crouching Tiger, Hidden Dragon)",Ang Lee,Aventure - Action,2000,f16,501743,338,1484,28  %,cinema/images/posters/wohucanglong.jpg,701832.0,04/10/2000,Warner Bros.,Tous publics,"[{'id': '399', 'name': 'Yun-Fat Chow', 'role': 'Rôle principal', 'character': 'Li Mu Bai'}]","[{'name': 'Yun-Fat Chow', 'moyenne': 787207}]"
les femmes du 6e étage,502481.0,2213187,,France,Comédie,2011-02-16,Tous publics,SND,,,0,9,3.0,"Sandrine Kiberlain, Fabrice Luchini",,11814,,865,les femmes du 6e étage,,,Comédie,2011,f25,502481,270,1861,23  %,cinema/images/posters/11814-20110116100145.jpg,,16/02/2011,SND,Tous publics,"[{'id': '321', 'name': 'Sandrine Kiberlain', 'role': 'Rôle principal', 'character': 'Suzanne Joubert'}, {'id': '134', 'name': 'Fabrice Luchini', 'role': 'Rôle principal', 'character': 'Jean-Louis Joubert'}]","[{'name': 'Sandrine Kiberlain', 'moyenne': 633654}, {'name': 'Fabrice Luchini', 'moyenne': 783835}]"
sully,505048.0,1178535,Clint Eastwood,Etats-Unis,Drame,2016-11-30,Tous publics,Warner Bros.,,,0,5,3.0,Tom Hanks,Aaron Eckhart,15635,116.0,863,sully,Sully,Clint Eastwood,Drame,2016,f23,505048,480,1052,43  %,cinema/images/posters/15635-20161126083001-0.jpg,1086035.0,30/11/2016,Warner Bros.,Tous publics,"[{'id': '341', 'name': 'Tom Hanks', 'role': 'Rôle principal', 'character': ""Chesley 'Sully' Sullenberger""}, {'id': '557', 'name': 'Aaron Eckhart', 'role': 'Second rôle', 'character': 'Jeff Skiles'}]","[{'name': 'Tom Hanks', 'moyenne': 1002550}, {'name': 'Aaron Eckhart', 'moyenne': 612496}]"
