realisateur,moyenne_fr_realisateur,cluster_realisateur
Andrew Adamson,4936917.0,2
Andrew Stanton,3449581.0,2
Ron Clements,3769589.0,2
Phlippe de Chauveron,2870418.0,2
Lee Unkrich,4408509.0,2
Luc Besson,2820163.0,2
John Lasseter,3099059.0,2
Jon Watts,3231363.0,2
Joseph Kosinski,3074542.0,2
Jean-Marie Poiré,3107128.0,2
Gérard Oury,3826547.0,2
J.J. Abrams,3591013.0,2
James Cameron,4463414.0,2
George Lucas,2872369.0,2
Francis Veber,4111321.0,2
Dany Boon,6579581.0,2
David Yates,4621211.0,2
Brad Bird,3252854.0,2
Claude Zidi,3204355.0,2
Colin Trevorrow,4378664.0,2
Charles Chaplin,2804021.0,2
Chris Renaud,3126770.0,2
Russo (brothers),2851359.0,2
Nakache & Toledano,3903528.0,2
Alain Chabat,4478003.0,2
Victor Fleming,3312105.0,2
Andrew Niccol,601815.0,0
Alex Proyas,1033366.0,0
Albert Dupontel,1206674.0,0
Alan Parker,1138160.0,0
Alan J. Pakula,572875.0,0
Alain Resnais,677641.0,0
Alain Corneau,768392.0,0
Adrian Lyne,1212432.0,0
Maïwenn,899657.0,0
Walter Salles,368662.0,0
Claude Chabrol,681906.0,0
Claire Denis,136476.0,0
Walter Hill,505496.0,0
Sofia Coppola,665449.0,0
Simon West,842095.0,0
Simon Wells,1049556.0,0
Sidney Lumet,311517.0,0
Shawn Levy,1145754.0,0
Antoine Fuqua,656580.0,0
Antoine De Caunes,396033.0,0
Anthony Minghella,715070.0,0
Anne Fontaine,377867.0,0
Ang Lee,701832.0,0
Andy Tennant,504776.0,0
André Téchiné,384735.0,0
Andrzej Zulawski,557293.0,0
Dardenne (frères),301977.0,0
Andrew Davis,674597.0,0
Charlotte De Turckheim,663004.0,0
Cameron Crowe,528271.0,0
Bruce Beresford,193597.0,0
Danny Boyle,733552.0,0
Danièle Thompson,1170348.0,0
D.J. Caruso,421968.0,0
Cédric Klapisch,1172315.0,0
Cédric Kahn,256981.0,0
Curtis Hanson,454520.0,0
Costa-Gavras,901961.1428571428,0
Clint Eastwood,1086035.0,0
Claude Miller,717055.0,0
Claude Lelouch,960383.0,0
Brian Levant,599551.0,0
Brian De Palma,789030.0,0
Brett Ratner,829334.0,0
Brad Silberling,980037.0,0
Bertrand Tavernier,710019.0,0
Bertrand Blier,1121652.0,0
Bernardo Bertolucci,1099519.0,0
Benoît Jacquot,208153.0,0
Ben Affleck,758891.0,0
Barry Levinson,809009.2222222222,0
Barbet Schroeder,366419.0,0
Arnaud Desplechin,274618.0,0
Doug Liman,793585.0,0
Dominique Farrugia,807948.0,0
