actors,director,distributor,duration,genres,producers,release_date,sessions,synopsis,title,trailer_views,writer
,,,1h 52min,,,2025-04-30,0,"Fahad Nassir travaille de jour dans un centre d'appel et de nuit comme livreur à Riyad. Après un coup d'éclat, il se fait licencier du centre et se retrouve dans une situation précaire, toutes ses économies servant à financer le traitement de son père malade. Désespéré, Fahad vole le stock d'alcool de trafiquants. Mais revendre ces ...",Coursier de nuit,0,
,,,1h 11min,,,2025-04-30,0,"Dans la forêt landaise, une famille se transmet, de génération en génération, les secrets du feu. Sous les yeux des animaux, les jours et les nuits se succèdent. Le père, Patrick, mange de l’herbe. La fille, Margot, explose. L’enfant, Jean, programme des bouquets de lucioles.",Un pays en flammes,0,
,,,1h 23min,,,2025-04-30,0,"En procédant à l’invalidation de l’arrêt Roe v. Wade, qui légalisait l’avortement aux États-Unis depuis 1973, la Cour suprême a fait un saut en arrière. Ce recul est symptomatique d’une polarisation déroutante. Dérangée par cette situation, la réalisatrice et féministe Léa Clermont-Dion s’interroge : comment ce précédent ...",La Peur au ventre,0,
Emily Watson,,,1h 38min,,,2025-04-30,0,"Irlande, 1985. Modeste entrepreneur dans la vente de charbon, Bill Furlong tache de maintenir à flot son entreprise, et de subvenir aux besoins de sa famille. Un jour, lors d'une livraison au couvent de la ville, il fait une découverte qui le bouleverse. Ce secret longtemps dissimulé va le confronter à son passé et au silence complice d'une ...",Tu ne mentiras point,0,
David Harbour,,,2h 06min,,,2025-04-30,0,"Marvel Studios rassemble une équipe de anti-héros peu conventionnelle : Yelena Belova, Bucky Barnes, Red Guardian, Le Fantôme, Taskmaster et John Walker. Tombés dans un piège redoutable tendu par Valentina Allegra de Fontaine, ces laissés pour compte complètement désabusés doivent participer à une mission à haut risque qui les forcera à ...",Thunderbolts*,0,
Guy Pearce,,,2h 00min,,,2025-04-30,0,"Karsh, 50 ans, est un homme d’affaires renommé. Inconsolable depuis le décès de son épouse, il invente un système révolutionnaire et controversé, GraveTech, qui permet aux vivants de se connecter à leurs chers disparus dans leurs linceuls. Une nuit, plusieurs tombes, dont celle de sa femme, sont vandalisées. Karsh se met en quête des coupables.",Les Linceuls,0,
Simone Signoret,,,2h 16min,,,2013-05-29,0,"Paris, mai 1962. La guerre d'Algérie vient de s'achever avec les accords d'Evian. En ce premier mois de paix depuis sept ans, que font, à quoi pensent les Parisiens ? Chacun témoigne à sa manière de ses angoisses, ses bonheurs, ses espoirs.",Le Joli Mai,0,
,,,1h 29min,,,2025-04-30,0,"Au cœur de la forêt équatoriale du Congo, les vestiges d’un centre de recherche consacré à l’agriculture tropicale dévoilent le lourd héritage du passé colonial et ses liens étroits avec le problème pressant du changement climatique actuel.",L’Arbre de l’Authenticité,0,
,,,1h 13min,,,2025-04-30,0,"Le 1er avril 1944, à 22h44, un groupe de résistants commet un sabotage sur la voie ferrée d'Ascq, près de Lille, avec pour objectif de ralentir l'approvisionnement d'armes et de marchandises allemandes en direction de la Normandie. Une explosion retentit et le train s'immobilise. Les résistants l'ignorent mais le train est en réalité occupé ...",Ascq 44 : les martyrs du Nord,0,
Yvan Gilbert,,,1h 34min,,,2025-04-30,0,"Suite à la perte d'un proche, une peintre et réalisatrice ressent le besoin vital de créer pour pouvoir traverser son deuil. Les Oiseaux de Pluie est une œuvre lumineuse, qui célèbre la résilience et la capacité humaine à trouver la lumière, même au cœur de la nuit.",Les Oiseaux de Pluie,0,
Laila,,,2h 47min,,,2025-04-30,0,"Dheena, frère adoptif d’Adhikesavan, un gangster redouté, travaille à ses côtés et partage avec lui un lien très fort. Mais tout bascule lorsqu’un malentendu tragique provoque la mort de leur sœur.",Dheena,0,
,,,1h 34min,,,2025-04-30,0,"L’histoire d’une folle aventure où patients, soignants, artistes se rejoignent, au-delà de ce qui les sépare, pour créer et vivre ensemble.",Les Esprits Libres,0,
Emilia Dobrin,,,2h 18min,,,2025-04-30,0,"20 décembre 1989. La Roumanie est au bord de la révolution. Les autorités préparent les festivités du Nouvel An comme si de rien n’était ou presque mais le vernis officiel commence à craquer. Dans l’effervescence de la contestation, six destins vont se croiser au fil d’une journée pas comme les autres. Jusqu’à la chute de ...",Ce nouvel an qui n'est jamais arrivé,0,
Tara Mallen,,,1h 55min,,,2025-04-30,0,"Dan travaille sur des chantiers de voirie à Chicago et ses environs. Un peu par hasard, et à l’insu de sa famille, il intègre une troupe de théâtre amateur qui met en scène Roméo et Juliette. Peu à peu, la tragédie qui se monte sur scène commence à lui renvoyer le reflet de sa propre vie.",Ghostlight,0,
Erin Kellyman,,,1h 39min,,,2025-04-30,0,"Dans l'Angleterre des années 1920, un romancier homosexuel et son infirmière psychiatrique se lient d'une amitié improbable au cours d'une série de « rendez-vous » prescrits par le médecin. Au fil de leurs conversations, il se confie sur l’histoire de la relation qu’il entretenait avec un ami de longue date. Cette liaison a basculé ...",Les Fleurs du silence,0,
Julia Piaton,,,1h 34min,,,2025-04-30,0,"Yonathan, expert en montres de luxe au quotidien monotone, voit sa vie basculer lorsqu’il s’associe à Éric, receleur et escroc. Fasciné par le train de vie d'Éric, Yonathan perd toute mesure. Tout s’accélère quand, pour répondre à une commande d'Éric, Jo, cambrioleur de génie, vole cinq chefs-d’œuvre au Musée d’Art Moderne de ...",Les Règles de l'art,0,
Vela Ramamoorthy,,,1h 39min,,,2025-04-30,0,"Le quartier de « Little Jaffna » à Paris est le cœur d'une communauté tamoule vibrante, où Michael, un jeune policier, est chargé d'infiltrer un groupe criminel connu pour extorsion et blanchiment d'argent au profit des rebelles séparatistes au Sri Lanka. Mais à mesure qu'il s'enfonce au cœur de l'organisation, sa loyauté sera mise à ...",Little Jaffna,0,
Quentin Dolmaire,,,1h 24min,,,2025-04-30,0,"Mélanie, avocate, atteinte d’une maladie incurable, a décidé qu’il était temps de profiter de la vie ! Elle embarque Benjamin, son ami de toujours, dans un périple vers l’Espagne. Les voici à bord d’un van délabré, conduit par Lucas, un chauffeur bourru sorti de prison la veille. Contrairement à Mélanie, Benjamin ne semble pas ...",Une pointe d'amour,0,
Will Poulter,,,1h 59min,,,2025-04-30,0,"Muriel et son mari Lee démarrent une nouvelle vie en Californie lorsque qu’il revient de la guerre de Corée. Rapidement, l’équilibre de leur couple va être bouleversé par l'arrivée du charismatique Julius, le frère de Lee, un flambeur au passé secret. Un triangle amoureux se forme. Mais Julius décide de suivre Henry, un jeune joueur de ...",Les Indomptés,0,
