rang,titre,titre_vo,realisateur,genre,annee,pays,entrees,salles,moy_salle,part_marche,affiche
1,Bienvenue chez les Ch'tis,Réalisé par :,Comédie,Bienvenue chez les Ch'tis,2008,f25,4378720,793,5522,21  %,cinema/images/posters/np_10042.jpg
2,Les Bronzés 3: Amis pour la vie,Réalisé par :,Comédie,Les Bronzés 3: Amis pour la vie,2006,f25,3906694,950,4112,38  %,cinema/images/posters/bronzes3.jpg
3,Star Wars: Le Réveil de la Force,Star Wars: The Force Awakens,Fantasy,Star Wars: Le Réveil de la Force,2015,f23,3801235,1093,3478,36  %,cinema/images/posters/13345-20230308062242.jpg
4,Astérix et Obélix: Mission Cléopatre,Réalisé par :,Comédie,Astérix et Obélix: Mission Cléopatre,2002,f25,3685097,945,3900,25  %,cinema/images/posters/asterixcleopatre.jpg
5,Taxi 2,Réalisé par :,Comédie,Taxi 2,2000,f25,3478850,831,4186,34  %,cinema/images/posters/taxi2.jpg
6,Avengers: Endgame,Réalisé par :,Comicbook,Avengers: Endgame,2019,f23,3426471,633,5413,49  %,cinema/images/posters/15189-20190317125524-0.jpg
7,La Revanche des Sith,Revenge of the Sith,Fantasy,La Revanche des Sith,2005,f23,3303005,938,3521,46  %,cinema/images/posters/revengesith.jpg
8,Le Roi Lion (2019),The Lion King (2019),Aventure - Action,Le Roi Lion (2019),2019,f23,3252896,680,4784,32  %,cinema/images/posters/17528-20190713012150-0.jpg
9,Les Aventures de Tintin : Le secret de la Licorne,The Adventures of Tintin: Secret of the Unicorn,Aventure - Action,Les Aventures de Tintin : Le secret de la Licorne,2011,f23,3158313,850,3716,59  %,cinema/images/posters/10845-20110827120831.jpg
10,Harry Potter et les reliques de la mort - partie 2,Harry Potter and the Deathly Hallows: Part II,Fantasy,Harry Potter et les reliques de la mort - partie 2,2011,f23,3129485,812,3854,48  %,cinema/images/posters/10193-20110702040722.jpg
11,Harry Potter et la coupe de feu,Harry Potter and the Goblet of Fire,Fantasy,Harry Potter et la coupe de feu,2005,f23,3088796,950,3251,40  %,cinema/images/posters/harrypotter4.jpg
12,Asterix aux Jeux Olympiques,,,Asterix aux Jeux Olympiques,2008,f25,3007811,1078,2790,44  %,cinema/images/posters/np_3.jpg
