title                                                               , image                                                                                  , date             , broadcast_place                   , genres                                           , certificate                         , synopsis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , directors                                                                   , scenarists                                        , actors                                                                      , average_notes_press, average_notes_spectators, nationality                   , distributor                                  , awards                   , year_production, movie_type     , language                                                                        , entrance_number_fr
Médecin De Campagne                                                 , https://fr.web.img3.acsta.net/c_310_420/pictures/16/02/01/11/03/192862.jpg             , 23 mars 2016     , en salle                          , Comédie dramatique                               , Tout public                         , "Tous les habitants, dans ce coin de campagne, peuvent compter sur Jean-Pierre, le médecin qui les ausculte, les soigne et les rassure jour et nuit, 7 jours sur 7. Malade à son tour, Jean-Pierre voit débarquer Nathalie,  médecin depuis peu, venue de l’hôpital pour le seconder. Mais parviendra-t-elle à s’adapter à cette nouvelle vie et à remplacer celui qui se croyait… irremplaçable ?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Thomas Lilti                                                                , "Thomas Lilti,Baya Kasmi"                         , "François Cluzet,Marianne Denicourt,Isabelle Sadoyan"                       , "3,7"              , "3,6"                   , France                        , Le Pacte                                     , 1 nomination             ,            2016, Long métrage   , Français                                                                        , 1 508 642 entrées
Une merveilleuse histoire du temps                                  , https://fr.web.img3.acsta.net/c_310_420/pictures/14/10/31/17/54/461500.jpg             , 21 janvier 2015  , en salle                          , "Biopic,Drame"                                   , Tout public                         , "1963, en Angleterre, Stephen, brillant étudiant en Cosmologie à l’Université de Cambridge, entend bien donner une réponse simple et efficace au mystère de la création de l’univers. De nouveaux horizons s’ouvrent quand il tombe amoureux d’une étudiante en art, Jane Wilde. Mais le jeune homme, alors dans la fleur de l’âge, se heurte à un diagnostic implacable : une dystrophie neuromusculaire plus connue sous le nom de maladie de Charcot va s’attaquer à ses membres, sa motricité, et son élocution, et finira par le tuer en l’espace de deux ans.,Grâce à l’amour indéfectible, le courage et la résolution de Jane, qu’il épouse contre toute attente, ils entament tous les deux un nouveau combat afin de repousser l’inéluctable. Jane l’encourage à terminer son doctorat, et alors qu’ils commencent une vie de famille, Stephen, doctorat en poche va s’attaquer aux recherches sur ce qu’il a de plus précieux : le temps.,Alors que son corps se dégrade, son cerveau fait reculer les frontières les plus éloignées de la physique. Ensemble, ils vont révolutionner le monde de la médecine et de la science, pour aller au-delà de ce qu’ils auraient pu imaginer : le vingt et unième siècle."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , James Marsh                                                                 , Anthony McCarten                                  , "Eddie Redmayne,Felicity Jones,Tom Prior"                                   , "3,3"              , "4,2"                   , Grande-Bretagne               , Universal Pictures International France      , 6 prix et 16 nominations ,            2014, Long métrage   , "Anglais, Français"                                                             , 212 143 entrées
Green Book : Sur les routes du sud                                  , https://fr.web.img3.acsta.net/c_310_420/pictures/19/02/25/17/06/0818764.jpg            , 23 janvier 2019  , en salle                          , "Biopic,Drame"                                   , Tout public                         , "En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts. Durant leur périple de Manhattan jusqu’au Sud profond, ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur, où l’on ne refusera pas de servir Shirley et où il ne sera ni humilié ni maltraité.,Dans un pays où le mouvement des droits civiques commence à se faire entendre, les deux hommes vont être confrontés au pire de l’âme humaine, dont ils se guérissent grâce à leur générosité et leur humour. Ensemble, ils vont devoir dépasser leurs préjugés, oublier ce qu’ils considéraient comme des différences insurmontables, pour découvrir leur humanité commune."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Peter Farrelly                                                              , "Nick Vallelonga,Brian Hayes Currie"              , "Viggo Mortensen,Mahershala Ali,Linda Cardellini"                           , "4,0"              , "4,5"                   , U.S.A.                        , Metropolitan FilmExport                      , 7 prix et 12 nominations ,            2018, Long métrage   , Anglais                                                                         , 2 055 324 entrées
Django Unchained                                                    , https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/90/08/59/20366454.jpg         , 16 janvier 2013  , en salle                          , Western                                          , Interdit - 12 ans                   , "Dans le sud des États-Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle – morts ou vifs.,Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves…,Lorsque Django et Schultz arrivent dans l’immense plantation du puissant Calvin Candie, ils éveillent les soupçons de Stephen, un esclave qui sert Candie et a toute sa confiance. Le moindre de leurs mouvements est désormais épié par une dangereuse organisation de plus en plus proche… Si Django et Schultz veulent espérer s’enfuir avec Broomhilda, ils vont devoir choisir entre l’indépendance et la solidarité, entre le sacrifice et la survie…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Quentin Tarantino                                                           , Quentin Tarantino                                 , "Jamie Foxx,Christoph Waltz,Leonardo DiCaprio"                              , "4,6"              , "4,5"                   , U.S.A.                        , Sony Pictures Releasing France               , 8 prix et 11 nominations ,            2012, Long métrage   , "Anglais, Français, Allemand"                                                   , 4 229 543 entrées
L'Emprise                                                           , https://fr.web.img6.acsta.net/c_310_420/pictures/15/01/27/15/22/367074.jpg             , 10 février 2015  , en VOD                            , Drame                                            , Tout public                         , "L’histoire d’une mère de quatre enfants qui se retrouve en mars 2012 dans le box des accusés des Assises de Douai pour le meurtre de son mari, un homme qui l’a battue et torturée pendant leurs dix-sept ans de mariage..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Claude-Michel Rome                                                          , Claude-Michel Rome                                , "Odile Vuillemin,Fred Testot,Marc Lavoine"                                  , "4,3"              , --                      , France                        , 1 prix et 1 nomination                       , Aucun                    ,            2014, Télefilm       , -                                                                               , -
Des Lendemains qui chantent                                         , https://fr.web.img6.acsta.net/c_310_420/pictures/14/06/24/17/21/587352.jpg             , 20 août 2014     , en salle                          , Comédie                                          , Tout public                         , "Olivier et Léon, deux frères qui sont montés à Paris et que la vie a éloigné... Si le premier se voit comme un journaliste sans concessions, le second est un communicant ambitieux et opportuniste. Noémie, une charmante conseillère présidentielle, n’arrive pas, au fil des ans, à choisir entre eux. Sous le regard amusé de Sylvain, leur ami d’enfance, qui a fait fortune dans le minitel rose, leurs destins se croisent sur 20 ans, s’entremêlent, au cours d’une épopée drôle, tendre et nostalgique, dans les années 80/90."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , Nicolas Castro                                                              , Nicolas Castro                                    , "Pio Marmaï,Laetitia Casta,Ramzy Bedia"                                     , "3,1"              , "3,0"                   , France                        , UGC Distribution                             , 1 nomination             ,            2013, Long métrage   , Français                                                                        , 85 194 entrées
Monsters                                                            , https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/79/56/45/19543121.jpg         , 1 décembre 2010  , en salle                          , "Drame,Epouvante-horreur,Science Fiction"        , Tout public                         , "Une sonde de la NASA s’écrase dans la jungle mexicaine, libérant sur terre des particules d’une forme de vie extra-terrestre. Six ans plus tard, le Mexique et le Costa-Rica sont devenus des zones de guerre désertées par les populations locales, mises en quarantaine et peuplées de créatures monstrueuses. Un photographe est chargé d’escorter une jeune femme à travers cette zone dévastée. Seuls sur la route, ils vont tenter de rejoindre la frontière américaine..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Gareth Edwards (V)                                                          , Gareth Edwards (V)                                , "Whitney Able,Scoot McNairy,Annalee Jefferies"                              , "3,4"              , "2,6"                   , Grande-Bretagne               , SND                                          , 2 nominations            ,            2010, Long métrage   , "Anglais, Espagnol"                                                             , 67 514 entrées
Le Monde secret des Emojis                                          , https://fr.web.img5.acsta.net/c_310_420/pictures/17/08/24/10/15/324652.jpg             , 18 octobre 2017  , en salle                          , "Aventure,Animation,Comédie"                     , Tout public                         , "Au sein de l’appli de messagerie, la cité de Textopolis fourmille d’activité : c’est là que vivent tous les émojis, chacun porté par l’espoir d’être choisi par l’utilisateur du téléphone… Dans ce monde, chaque émoji ne possède qu’une seule expression faciale. Seul Bof, un émoji exubérant né sans aucun filtre, dispose de multiples expressions. Rêvant désespérément de devenir « normal », pareil aux autres émojis, Bof demande de l’aide à son meilleur ami, Tope-Là, et à la célèbre casseuse de codes, Rebelle. Tous trois s’embarquent dans une « app-venture » épique d’appli en appli, passant d’un monde fou et amusant à l’autre, à la recherche du code qui accomplira le rêve de Bof. Mais un terrible danger menace bientôt le smartphone. Le destin de tous les émojis repose désormais sur les trois amis. À eux de sauver leur monde avant qu’il ne soit effacé à jamais..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Tony Leondis                                                                , "Tony Leondis,Eric Siegel"                        , "T.J. Miller,James Corden,Anna Faris"                                       , "1,8"              , "2,0"                   , U.S.A.                        , Sony Pictures Releasing France               , # prix                   ,            2017, Long métrage   , Anglais                                                                         , 742 474 entrées
Zootopie                                                            , https://fr.web.img6.acsta.net/c_310_420/pictures/15/12/11/14/34/280851.jpg             , 17 février 2016  , en salle                          , "Animation,Comédie,Famille"                      , Tout public                         , "Zootopie est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! On y trouve des quartiers résidentiels élégants comme le très chic Sahara Square, et d’autres moins hospitaliers comme le glacial Tundratown. Dans cette incroyable métropole, chaque espèce animale cohabite avec les autres. Qu’on soit un immense éléphant ou une minuscule souris, tout le monde a sa place à Zootopia !,Lorsque Judy Hopps fait son entrée dans la police, elle découvre qu’il est bien difficile de s’imposer chez les gros durs en uniforme, surtout quand on est une adorable lapine. Bien décidée à faire ses preuves, Judy s’attaque à une épineuse affaire, même si cela l’oblige à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Byron Howard,Rich Moore,Jared Bush"                                        , "Jared Bush,Phil Johnston"                        , "Marie-Eugénie Maréchal,Ginnifer Goodwin,Alexis Victor"                     , "4,0"              , "4,3"                   , U.S.A.                        , The Walt Disney Company France               , 4 prix et 6 nominations  ,            2016, Long métrage   , Anglais                                                                         , 4 715 369 entrées
Inséparables                                                        , https://fr.web.img5.acsta.net/c_310_420/pictures/19/07/30/09/20/1991246.jpg            , 4 septembre 2019 , en salle                          , Comédie                                          , Tout public                         , "Mika, un petit escroc, a fait un rapide tour en prison, où il a fait la connaissance de « Poutine », un détenu cinglé et imprévisible. Sitôt sa peine purgée, il décide de repartir à zéro et de refaire sa vie. Alors qu’il s’apprête à épouser la fille d’un riche homme d’affaires, son passé le rattrape : Poutine débarque sans prévenir ! Mika va vite réaliser qu’on ne se débarrasse pas aisément d’un tel boulet..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Varante Soudjian                                                            , Varante Soudjian                                  , "Ahmed Sylla,Alban Ivanov,Judith El Zein"                                   , "2,5"              , "3,2"                   , France                        , SND                                          , 1 nomination             ,            2018, Long métrage   , Français                                                                        , 1 037 582 entrées
