title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Médecin De Campagne,https://fr.web.img3.acsta.net/c_310_420/pictures/16/02/01/11/03/192862.jpg,23 mars 2016,en salle,Comédie dramatique,Tout public,"Tous les habitants, dans ce coin de campagne, peuvent compter sur Jean-Pierre, le médecin qui les ausculte, les soigne et les rassure jour et nuit, 7 jours sur 7. Malade à son tour, Jean-Pierre voit débarquer Nathalie,  médecin depuis peu, venue de l’hôpital pour le seconder. Mais parviendra-t-elle à s’adapter à cette nouvelle vie et à remplacer celui qui se croyait… irremplaçable ?",Thomas Lilti,"Thomas Lilti,Baya Kasmi","François Cluzet,Marianne Denicourt,Isabelle Sadoyan","3,7","3,6",France,Le Pacte,1 nomination,2016,Long métrage,Français,1 508 642 entrées
Ad Astra,https://fr.web.img5.acsta.net/c_310_420/pictures/19/08/13/14/44/4638430.jpg,18 septembre 2019,en salle,"Drame,Science Fiction",Tout public,"L’astronaute Roy McBride s’aventure jusqu’aux confins du système solaire à la recherche de son père disparu et pour résoudre un mystère qui menace la survie de notre planète. Lors de son voyage, il sera confronté à des révélations mettant en cause la nature même de l’existence humaine, et notre place dans l’univers.",James Gray,"James Gray,Ethan Gross","Brad Pitt,Tommy Lee Jones,Ruth Negga","4,4","3,2",U.S.A.,Twentieth Century Fox France,2 nominations,2019,Long métrage,Anglais,1 039 973 entrées
Once Upon a Time… in Hollywood,https://fr.web.img6.acsta.net/c_310_420/pictures/19/07/22/08/51/0719990.jpg,14 août 2019,en salle,"Comédie,Drame",Interdit - 12 ans,"En 1969, la star de télévision Rick Dalton et le cascadeur Cliff Booth, sa doublure de longue date, poursuivent leurs carrières au sein d’une industrie qu’ils ne reconnaissent plus.,",Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio,Brad Pitt,Margot Robbie","4,1","3,8",U.S.A.,Sony Pictures Releasing France,7 prix et 25 nominations,2019,Long métrage,20/11/2019,2 633 185 entrées
Le Sens de la fête,https://fr.web.img3.acsta.net/c_310_420/pictures/17/07/12/11/50/570288.jpg,4 octobre 2017,en salle,Comédie,Tout public,"Max est traiteur depuis trente ans. Des fêtes il en a organisé des centaines, il est même un peu au bout du parcours. Aujourd'hui c'est un sublime mariage dans un château du 17ème siècle, un de plus, celui de Pierre et Héléna. Comme d'habitude, Max a tout coordonné : il a recruté sa brigade de serveurs, de cuisiniers, de plongeurs, il a conseillé un photographe, réservé l'orchestre, arrangé la décoration florale, bref tous les ingrédients sont réunis pour que cette fête soit réussie... Mais la loi des séries va venir bouleverser un planning sur le fil où chaque moment de bonheur et d'émotion risque de se transformer en désastre ou en chaos. Des préparatifs jusqu'à l'aube, nous allons vivre les coulisses de cette soirée à travers le regard de ceux qui travaillent et qui devront compter sur leur unique qualité commune : Le sens de la fête.","Eric Toledano,Olivier Nakache","Olivier Nakache,Eric Toledano","Jean-Pierre Bacri,Gilles Lellouche,Eye Haïdara","3,7","4,0",France,Gaumont Distribution,1 prix et 16 nominations,2017,Long métrage,Français,3 020 694 entrées
30 jours max,https://fr.web.img2.acsta.net/c_310_420/pictures/21/05/06/11/39/3560897.jpg,14 octobre 2020,en salle,"Comédie,Policier",Tout public,"Rayane est un jeune flic trouillard et maladroit sans cesse moqué par les autres policiers. Le jour où son médecin lui apprend à tort qu’il n’a plus que trente jours à vivre, Il comprend que c’est sa dernière chance pour devenir un héros au sein de son commissariat et impressionner sa collègue Stéphanie. L’éternel craintif se transforme alors en véritable tête brûlée qui prendra tous les risques pour coincer un gros caïd de la drogue…",Tarek Boudali,"Tarek Boudali,Pierre Dudan (II)","Tarek Boudali,Philippe Lacheau,Julien Arruti","2,4","2,2",France,StudioCanal,1 nomination,2019,Long métrage,19/05/2021,1 324 525 entrées
The Greatest Showman,https://fr.web.img3.acsta.net/c_310_420/pictures/17/12/22/14/45/3862832.jpg,24 janvier 2018,en salle,"Drame,Comédie musicale",Tout public,"The Greatest Showman célèbre la naissance du show-business et l’émerveillement que l’on éprouve lorsque les rêves deviennent réalité. Inspirée par l’ambition et l’imagination de P.T Barnum, voici l’histoire d’un visionnaire parti de rien qui a créé un spectacle devenu un phénomène planétaire.",Michael Gracey,"Bill Condon,Jenny Bicks","Hugh Jackman,Zac Efron,Michelle Williams","2,7","4,2",U.S.A.,Twentieth Century Fox France,1 prix et 3 nominations,2017,Long métrage,Anglais,591 849 entrées
"Vaiana, la légende du bout du monde",https://fr.web.img6.acsta.net/c_310_420/pictures/16/09/14/09/17/148002.jpg,30 novembre 2016,en salle,"Animation,Famille",Tout public,"Il y a 3 000 ans, les plus grands marins du monde voyagèrent dans le vaste océan Pacifique, à la découverte des innombrables îles de l'Océanie. Mais pendant le millénaire qui suivit, ils cessèrent de voyager. Et personne ne sait pourquoi...,Vaiana, la légende du bout du monde raconte l'aventure d'une jeune fille téméraire qui se lance dans un voyage audacieux pour accomplir la quête inachevée de ses ancêtres et sauver son peuple. Au cours de sa traversée du vaste océan, Vaiana va rencontrer Maui, un demi-dieu. Ensemble, ils vont accomplir un voyage épique riche d'action, de rencontres et d'épreuves... En accomplissant la quête inaboutie de ses ancêtres, Vaiana va découvrir la seule chose qu'elle a toujours cherchée : elle-même.","John Musker,Ron Clements",Jared Bush,"Cerise Calixte,Auli'i Cravalho,Anthony Kavanagh","3,6","4,2",U.S.A.,The Walt Disney Company France,7 nominations,2016,Long métrage,Anglais,5 582 587 entrées
Le Mans 66,https://fr.web.img6.acsta.net/c_310_420/pictures/19/10/14/09/06/5193325.jpg,13 novembre 2019,en salle,"Biopic,Drame",Tout public,"Basé sur une histoire vraie, le film suit une équipe d'excentriques ingénieurs américains menés par le visionnaire Carroll Shelby et son pilote britannique Ken Miles, qui sont envoyés par Henry Ford II pour construire à partir de rien une nouvelle automobile qui doit détrôner la Ferrari à la compétition du Mans de 1966.",James Mangold,"Jez Butterworth,John-Henry Butterworth","Matt Damon,Christian Bale,Caitriona Balfe","3,8","4,3",U.S.A.,Twentieth Century Fox France,4 prix et 7 nominations,2019,Long métrage,Anglais,1 138 077 entrées
Get Out,https://fr.web.img2.acsta.net/c_310_420/pictures/17/03/16/13/25/487327.jpg,3 mai 2017,en salle,Thriller,Interdit - 12 ans,"Couple mixte, Chris et sa petite amie Rose  filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable.",Jordan Peele,Jordan Peele,"Daniel Kaluuya,Allison Williams,Catherine Keener","4,0","4,1",U.S.A.,Universal Pictures International France,1 prix et 14 nominations,2017,Long métrage,Anglais,1 145 664 entrées
The Strangers,https://fr.web.img5.acsta.net/c_310_420/pictures/16/05/03/10/18/265733.jpg,6 juillet 2016,en salle,"Policier,Drame,Epouvante-horreur,Thriller",Interdit - 12 ans avec avertissement,"La vie d’un village de montagne est bouleversée par une série de meurtres, aussi sauvages qu’inexpliqués. L’enquête de police piétine alors qu’une épidémie de fièvre se propage et mène à la folie meurtrière les habitants de la petite communauté. Sans explication rationnelle à ce phénomène, les soupçons se portent sur un vieil étranger qui vit en ermite dans les bois attisant rumeurs et superstitions.,",Na Hong-jin,Na Hong-jin,"Do-Won Kwak,Hwang Jeong-min,Jun Kunimura","4,1","3,9",Corée du Sud,Metropolitan FilmExport,1 nomination,2016,Long métrage,Coréen,61 153 entrées
