"Titre","URL","Démarrage","Entrées totales","Réalisateur","Producteur","Pays","Genre","Date de sortie","Classification","Distributeur","Rang toutes exploitations","Rang général","Rang 2008","Nb 1ère places hebdo","Nb semaines Top20","Meilleure place hebdo","Acteurs","Acteur principal","Acteur secondaire"
"scream 4","https://www.jpbox-office.com/fichfilm.php?id=11277&view=2","533 026","1 070 890","Wes Craven","","Etats-Unis","Horreur","13/04/2011","Moins de 12 ans","SND","3 754","3 782","","0","5","2","[{""name"": ""Courteney Cox"", ""role_type"": ""Second rôle"", ""character"": ""Gale Weathers-Riley""}]","","Courteney Cox"
"resident evil","https://www.jpbox-office.com/fichfilm.php?id=1779&view=2","533 300","1 105 943","Paul W.S. Anderson","","Etats-Unis","Aventure - Action","03/04/2002","Moins de 12 ans","Metropolitan","3 641","3 670","","0","5","2","[{""name"": ""Milla Jovovich"", ""role_type"": ""Rôle principal"", ""character"": ""Alice""}]","Milla Jovovich",""
"mariages!","https://www.jpbox-office.com/fichfilm.php?id=1065&view=2","533 360","2 008 899","","","France","Comédie","21/04/2004","Distribué par Pan-Européenne","Pan-Européenne","1 743","1 757","","1","7","1","[{""name"": ""Jean Dujardin"", ""role_type"": ""Rôle principal"", ""character"": ""Alex""}, {""name"": ""Mathilde Seigner"", ""role_type"": ""Rôle principal"", ""character"": ""Valentine""}, {""name"": ""Miou-Miou"", ""role_type"": ""Second rôle"", ""character"": ""Gabrielle""}]","Jean Dujardin, Mathilde Seigner","Miou-Miou"
"gainsbourg - (vie héroïque)","https://www.jpbox-office.com/fichfilm.php?id=10989&view=2","511 713","1 199 451","","","France","Comédie dramatique","20/01/2010","Tous publics","Universal","3 331","3 359","","0","5","3","[{""name"": ""Yolande Moreau"", ""role_type"": ""Second rôle"", ""character"": ""Fréhel""}]","","Yolande Moreau"
"l'homme qui murmurait à l'oreille des chevaux","https://www.jpbox-office.com/fichfilm.php?id=3050&view=2","511 833","2 997 201","Robert Redford","","Etats-Unis","Romance","02/09/1998","Tous publics","GBVI","869","871","","2","9","1","[{""name"": ""Robert Redford"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Kristin Scott Thomas"", ""role_type"": ""Rôle principal"", ""character"": ""Annie MacLean""}, {""name"": ""Scarlett Johansson"", ""role_type"": ""Second rôle"", ""character"": """"}, {""name"": ""Sam Neill"", ""role_type"": """", ""character"": """"}]","Robert Redford, Kristin Scott Thomas","Scarlett Johansson"
"la fin des temps","https://www.jpbox-office.com/fichfilm.php?id=2732&view=2","511 835","1 298 541","Peter Hyams","","Etats-Unis","Aventure - Action","15/12/1999","Moins de 12 ans","Metropolitan","3 038","3 063","","0","6","2","[{""name"": ""Arnold Schwarzenegger"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Gabriel Byrne"", ""role_type"": """", ""character"": """"}]","Arnold Schwarzenegger",""
"de gaulle","https://www.jpbox-office.com/fichfilm.php?id=20121&view=2","511 913","859 981","","","France","Drame","04/03/2020","Distribué par SND","SND","4 522","4 559","","0","7","2","[{""name"": ""Isabelle Carré"", ""role_type"": ""Rôle principal"", ""character"": ""Yvonne de Gaulle""}, {""name"": ""Lambert Wilson"", ""role_type"": ""Rôle principal"", ""character"": ""Charles de Gaulle""}, {""name"": ""Oliver Gourmet"", ""role_type"": ""Second rôle"", ""character"": ""Paul Reynaud""}]","Isabelle Carré, Lambert Wilson","Oliver Gourmet"
"matrix resurrections","https://www.jpbox-office.com/fichfilm.php?id=19943&view=2","513 133","972 644","Wachowski (brothers)","","Etats-Unis","Science Fiction","22/12/2021","Tous publics","Warner Bros.","4 112","4 148","","0","5","3","[{""name"": ""Carrie-Anne Moss"", ""role_type"": ""Rôle principal"", ""character"": ""Trinity""}, {""name"": ""Keanu Reeves"", ""role_type"": ""Rôle principal"", ""character"": ""Neo""}, {""name"": ""Lambert Wilson"", ""role_type"": ""Second rôle"", ""character"": ""Le Mérovingien""}, {""name"": ""Christina Ricci"", ""role_type"": ""Apparition"", ""character"": ""Gwyn de Vere""}]","Carrie-Anne Moss, Keanu Reeves","Lambert Wilson"
"casse-tête chinois","https://www.jpbox-office.com/fichfilm.php?id=13229&view=2","513 407","1 536 489","Cédric Klapisch","","France","Comédie","04/12/2013","Tous publics","Studiocanal","2 502","2 523","","0","6","3","[{""name"": ""Cécile De France"", ""role_type"": ""Rôle principal"", ""character"": ""Isabelle""}, {""name"": ""Romain Duris"", ""role_type"": ""Rôle principal"", ""character"": ""Xavier""}, {""name"": ""Audrey Tautou"", ""role_type"": ""Rôle principal"", ""character"": ""Martine""}]","Cécile De France, Romain Duris, Audrey Tautou",""
"forrest gump","https://www.jpbox-office.com/fichfilm.php?id=4249&view=2","500 885","3 963 919","Robert Zemeckis","","Etats-Unis","Comédie","05/10/1994","Tous publics","UIP","471","465","","1","13","1","[{""name"": ""Tom Hanks"", ""role_type"": ""Rôle principal"", ""character"": ""Forrest Gump""}, {""name"": ""Robin Wright"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Gary Sinise"", ""role_type"": ""Second rôle"", ""character"": """"}, {""name"": ""Sally Field"", ""role_type"": """", ""character"": """"}]","Tom Hanks, Robin Wright","Gary Sinise"
"la vengeance d'une blonde","https://www.jpbox-office.com/fichfilm.php?id=4256&view=2","501 070","2 039 370","","","France","Comédie","26/01/1994","Distribué par AMLF","AMLF","1 711","1 725","","1","6","1","[{""name"": ""Christian Clavier"", ""role_type"": ""Rôle principal"", ""character"": ""Gérard Bréha""}]","Christian Clavier",""
"la nuit au musée : le secret des pharaons","https://www.jpbox-office.com/fichfilm.php?id=14004&view=2","501 154","1 576 649","Shawn Levy","","Etats-Unis","Film familial","04/02/2015","Tous publics","20th Century Fox","2 430","2 451","","0","5","2","[{""name"": ""Ben Stiller"", ""role_type"": ""Rôle principal"", ""character"": ""Larry Daley / Laa""}, {""name"": ""Robin Williams"", ""role_type"": ""Second rôle"", ""character"": ""Theodore Roosevelt""}, {""name"": ""Owen Wilson"", ""role_type"": ""Second rôle"", ""character"": ""Jedidiah""}, {""name"": ""Rebel Wilson"", ""role_type"": ""Second rôle"", ""character"": ""Tilly""}, {""name"": ""Hugh Jackman"", ""role_type"": ""Apparition"", ""character"": ""Le Roi Arthur""}]","Ben Stiller","Robin Williams, Owen Wilson, Rebel Wilson"
"boudu","https://www.jpbox-office.com/fichfilm.php?id=738&view=2","501 196","1 199 369","Gérard Jugnot","","France","Comédie","09/03/2005","Distribué par Pathé","Pathé","3 332","3 360","","1","5","1","[{""name"": ""Gérard Depardieu"", ""role_type"": ""Rôle principal"", ""character"": ""Boudu""}, {""name"": ""Catherine Frot"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Gérard Jugnot"", ""role_type"": ""Rôle principal"", ""character"": ""Christian Lespinglet""}, {""name"": ""Jean-Paul Rouve"", ""role_type"": ""Second rôle"", ""character"": """"}]","Gérard Depardieu, Catherine Frot, Gérard Jugnot","Jean-Paul Rouve"
"j'accuse","https://www.jpbox-office.com/fichfilm.php?id=18775&view=2","501 228","1 567 306","Roman Polanski","","France","Drame","13/11/2019","Tous publics","Gaumont","2 445","2 466","","1","6","1","[{""name"": ""Jean Dujardin"", ""role_type"": ""Rôle principal"", ""character"": ""Colonel Georges Picquart""}, {""name"": ""Emmanuelle Seigner"", ""role_type"": ""Rôle principal"", ""character"": ""Pauline Monnier""}, {""name"": ""Mathieu Amalric"", ""role_type"": ""Second rôle"", """": ""Bertillon""}, {""name"": ""Vincent Perez"", ""role_type"": ""Second rôle"", ""character"": ""Maître Leblois""}, {""name"": ""Denis Podalydès"", ""role_type"": ""Second rôle"", ""character"": ""Maître Demange""}, {""name"": ""Melvil Poupaud"", ""role_type"": ""Second rôle"", ""character"": ""Maitre Labori""}]","Jean Dujardin, Emmanuelle Seigner","Mathieu Amalric, Vincent Perez, Denis Podalydès, Melvil Poupaud"
"tigre et dragon","https://www.jpbox-office.com/fichfilm.php?id=2421&view=2","501 743","1 806 197","Ang Lee","","Chine","Aventure - Action","04/10/2000","Tous publics","Warner Bros.","2 041","2 059","","0","6","2","[{""name"": ""Yun-Fat Chow"", ""role_type"": ""Rôle principal"", ""character"": ""Li Mu Bai""}]","Yun-Fat Chow",""
"les femmes du 6e étage","https://www.jpbox-office.com/fichfilm.php?id=11814&view=2","502 481","2 213 187","","","France","Comédie","16/02/2011","Tous publics","SND","1 508","1 520","","0","9","3","[{""name"": ""Sandrine Kiberlain"", ""role_type"": ""Rôle principal"", ""character"": ""Suzanne Joubert""}, {""name"": ""Fabrice Luchini"", ""role_type"": ""Rôle principal"", ""character"": ""Jean-Louis Joubert""}]","Sandrine Kiberlain, Fabrice Luchini",""
