Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
scream 4,533026.0,1070890,Wes Craven,Etats-Unis,Horreur,2011-04-13,Moins de 12 ans,SND,,,0,5,2.0,,Courteney Cox
resident evil,533300.0,1105943,Paul W.S. Anderson,Etats-Unis,Aventure - Action,2002-04-03,Moins de 12 ans,Metropolitan,,,0,5,2.0,Milla Jovovich,
gainsbourg - (vie héroïque),511713.0,1199451,,France,Comédie dramatique,2010-01-20,Tous publics,Universal,,,0,5,3.0,,Yolande Moreau
matrix resurrections,513133.0,972644,Wachowski (brothers),Etats-Unis,Science Fiction,2021-12-22,Tous publics,Warner Bros.,,,0,5,3.0,"Carrie-Anne Moss, Keanu Reeves",Lambert Wilson
casse-tête chinois,513407.0,1536489,Cédric Klapisch,France,Comédie,2013-12-04,Tous publics,Studiocanal,,,0,6,3.0,"Cécile De France, Romain Duris, Audrey Tautou",
la nuit au musée : le secret des pharaons,501154.0,1576649,Shawn Levy,Etats-Unis,Film familial,2015-02-04,Tous publics,20th Century Fox,,,0,5,2.0,Ben Stiller,"Robin Williams, Owen Wilson, Rebel Wilson"
j'accuse,501228.0,1567306,Roman Polanski,France,Drame,2019-11-13,Tous publics,Gaumont,,,1,6,1.0,"Jean Dujardin, Emmanuelle Seigner","Mathieu Amalric, Vincent Perez, Denis Podalydès, Melvil Poupaud"
tigre et dragon,501743.0,1806197,Ang Lee,Chine,Aventure - Action,2000-10-04,Tous publics,Warner Bros.,,,0,6,2.0,Yun-Fat Chow,
les femmes du 6e étage,502481.0,2213187,,France,Comédie,2011-02-16,Tous publics,SND,,,0,9,3.0,"Sandrine Kiberlain, Fabrice Luchini",
sully,505048.0,1178535,Clint Eastwood,Etats-Unis,Drame,2016-11-30,Tous publics,Warner Bros.,,,0,5,3.0,Tom Hanks,Aaron Eckhart
"tanguy, le retour",486634.0,1027447,Etienne Chatiliez,France,Comédie,2019-04-10,Tous publics,SND,,,1,6,1.0,"Sabine Azéma, André Dussollier",
alvin et les chipmunks - a fond la caisse,488106.0,1799931,,Etats-Unis,Film familial,2016-02-03,Tous publics,20th Century Fox,,,0,5,3.0,,
mauvais esprit,489107.0,1106439,,France,Comédie,2003-11-05,Tous publics,Pathé,,,0,5,3.0,Thierry Lhermitte,
jack reacher 2,489442.0,926882,Edward Zwick,Etats-Unis,Thriller,2016-10-19,Tous publics,Paramount,,,0,3,4.0,Tom Cruise,
panic room,475014.0,1324402,David Fincher,Etats-Unis,Aventure - Action,2002-04-24,Moins de 12 ans,Columbia,,,1,6,1.0,"Jodie Foster, Jared Leto, Kristen Stewart, Forest Whitaker",
tron l'héritage,475032.0,1215956,Joseph Kosinski,Etats-Unis,Science Fiction,2011-02-09,Tous publics,Walt Disney Pictures,,,0,4,4.0,Jeff Bridges,
divergente,475291.0,1492110,,Etats-Unis,Science Fiction,2014-04-09,Tous publics,SND,,,0,7,3.0,,Kate Winslet
l'immortel,475510.0,1129959,Richard Berry,France,Thriller,2010-03-24,Moins de 12 ans,EuropaCorp,,,0,5,3.0,"Marina Foïs, Kad Merad, Jean Reno","Richard Berry, Jean-Pierre Darroussin"
john carter,475960.0,1021013,Andrew Stanton,Etats-Unis,Science Fiction,2012-03-07,Tous publics,Walt Disney Pictures,,,0,4,2.0,,"Bryan Cranston, Willem Dafoe"
pentagon papers,476134.0,1338048,Steven Spielberg,Etats-Unis,Drame,2018-01-24,Tous publics,Universal,,,1,5,1.0,"Tom Hanks, Meryl Streep",
joyeuse retraite !,477116.0,1259687,,France,Comédie,2019-11-20,Tous publics,SND,,,0,6,3.0,"Michèle Laroque, Thierry Lhermitte",
traffic,477351.0,1938732,Steven Soderbergh,Etats-Unis,Drame,2001-03-07,Tous publics,Bac Films,,,0,9,2.0,"Michael Douglas, Benicio Del Toro, Catherine Zeta Jones","Don Cheadle, Dennis Quaid"
get out,465265.0,1145664,,Etats-Unis,Horreur,2017-05-03,Moins de 12 ans,Universal,,,0,8,2.0,,
scooby-doo 2: les monstres se déchaînent,465406.0,1393180,Raja Gosnell,Etats-Unis,Film familial,2004-04-07,Tous publics,Warner Bros.,,,0,7,3.0,Sarah Michelle Gellar,
prédictions,465607.0,1401915,Alex Proyas,Etats-Unis,Science Fiction,2009-04-01,Tous publics,SND,,,0,6,2.0,Nicolas Cage,Rose Byrne
la pat’ patrouille - le film,459566.0,1458977,,Etats-Unis,Animation,2021-08-11,Tous publics,Paramount,,,1,9,1.0,,
le renard et l'enfant,466488.0,2499137,Luc Jacquet,France,Film familial,2007-12-12,Tous publics,Walt Disney Pictures,,,0,7,2.0,,
drive,467609.0,1580623,,Etats-Unis,Aventure - Action,2011-10-05,Moins de 12 ans,Le Pacte,,,0,7,2.0,Ryan Gosling,"Bryan Cranston, Ron Perlman"
la première étoile,456914.0,1647603,Jean-Baptiste Lucien,France,Comédie,2009-03-25,Tous publics,Mars Distribution,,,0,9,2.0,Jean-Baptiste Lucien,
le prince oublié,457031.0,921200,Michel Hazanavicius,France,Film familial,2020-02-12,Tous publics,Pathé,,,0,4,2.0,"Bérénice Bejo, François Damiens, Omar Sy",
un secret,458730.0,1691907,Claude Miller,France,Drame,2007-10-03,Tous publics,UGC Distribution,,,2,5,1.0,"Patrick Bruel, Cécile De France, Ludivine Sagnier","Mathieu Amalric, Julie Depardieu"
chronicle,458842.0,1020366,,Etats-Unis,Fantasy,2012-02-22,Tous publics,20th Century Fox,,,1,5,1.0,Michael B. Jordan,
poly,458929.0,604853,Nicolas Vanier,France,Film familial,2020-10-21,Tous publics,SND,,,0,3,4.0,François Cluzet,Patrick Timsit
